mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.2949965000152588,0.016819516481973742,0.03360414505004883,0.007344926633128441,5,2,100,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.7724550898203593,0.8078078078078078,0.7987987987987988,0.7930205654756554,0.014999881166807765,9
0.5648971398671468,0.021071610837325803,0.060427188873291016,0.00148443954055843,5,2,200,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.7784431137724551,0.7957957957957958,0.8018018018018018,0.7920135704566843,0.009904073168817955,10
0.27619020144144696,0.012866232105445248,0.030211766560872395,0.0002286956888901176,5,5,100,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.781437125748503,0.7897897897897898,0.7957957957957958,0.7890075704446962,0.005887939747746246,12
0.5809552669525146,0.05514050898458057,0.057657321294148765,0.0006873874147881921,5,5,200,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 200}",0.7754491017964071,0.7957957957957958,0.7987987987987988,0.7900145654636672,0.010372047552298666,11
0.3206792672475179,0.013053817444350146,0.032909234364827476,0.0008296701715098685,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.781437125748503,0.8348348348348348,0.8078078078078078,0.8080265894637152,0.021800072369556504,3
0.6286779244740804,0.015209812127934961,0.06235973040262858,0.0012140473872898649,10,2,200,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.7724550898203593,0.8138138138138138,0.8078078078078078,0.7980255704806604,0.018246554705572345,8
0.30806318918863934,0.008222830322015063,0.033019304275512695,0.00044650769412860205,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.7874251497005988,0.8318318318318318,0.8078078078078078,0.8090215964467462,0.01814925740668387,1
0.6094443798065186,0.005097871458873601,0.0707398255666097,0.012030850319081228,10,5,200,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.7874251497005988,0.8198198198198198,0.8018018018018018,0.8030155904407401,0.013252889626500279,7
0.32425999641418457,0.009152855692529759,0.03646079699198405,0.005115544155572607,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.7994011976047904,0.8318318318318318,0.7957957957957958,0.8090096084108062,0.01620473473937971,2
0.6717888514200846,0.03125421637451377,0.06641014417012532,0.0018022474085077394,,2,200,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.7874251497005988,0.8228228228228228,0.8048048048048048,0.8050175924427422,0.014451822827382907,6
0.3362255096435547,0.0211487843501591,0.03259595235188802,0.0006732916002675628,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.7844311377245509,0.8318318318318318,0.8018018018018018,0.8060215904527283,0.01957994573803974,5
0.6240460872650146,0.010126144951310902,0.06387885411580403,0.0006466577132936716,,5,200,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.7874251497005988,0.8228228228228228,0.8138138138138138,0.8080205954457451,0.01502042720013982,4
